culture,plate,disk,species,clade,mycoparasitism,region,Axis.1,Axis.2,disease_severity
TIE_T3L5C26,10.4,10.4_1,C_allicinum,herbarum,1,East,0.478518139,0.082364672,62
TIE_T3L5C26,10.4,10.4_2,C_allicinum,herbarum,1,East,0.478518139,0.082364672,76
TIE_T3L5C26,10.4,10.4_3,C_allicinum,herbarum,0,East,0.478518139,0.082364672,40
TIE_T3L5C26,10.2,10.2_1,C_allicinum,herbarum,0,East,0.478518139,0.082364672,68
TIE_T3L5C26,10.2,10.2_2,C_allicinum,herbarum,0,East,0.478518139,0.082364672,72
TIE_T3L5C26,10.2,10.2_3,C_allicinum,herbarum,0,East,0.478518139,0.082364672,3
TIE_T3L5C26,10.1,10.1_1,C_allicinum,herbarum,0,East,0.478518139,0.082364672,25
TIE_T3L5C26,10.1,10.1_2,C_allicinum,herbarum,0,East,0.478518139,0.082364672,19
TIE_T3L5C26,10.1,10.1_3,C_allicinum,herbarum,0,East,0.478518139,0.082364672,25
TIE_T3L5C26,10.3,10.3_1,C_allicinum,herbarum,0,East,0.478518139,0.082364672,24
TIE_T3L5C26,10.3,10.3_2,C_allicinum,herbarum,0,East,0.478518139,0.082364672,47
TIE_T3L5C26,10.3,10.3_3,C_allicinum,herbarum,0,East,0.478518139,0.082364672,6
LS_T4L3C39,7.3,7.3_1,C_limoniforme,herbarum,0,East,0.474754464,0.07976888,17
LS_T4L3C39,7.3,7.3_2,C_limoniforme,herbarum,0,East,0.474754464,0.07976888,35
LS_T4L3C39,7.3,7.3_3,C_limoniforme,herbarum,0,East,0.474754464,0.07976888,10
LS_T4L3C39,7.2,7.2_1,C_limoniforme,herbarum,0,East,0.474754464,0.07976888,38
LS_T4L3C39,7.2,7.2_2,C_limoniforme,herbarum,0,East,0.474754464,0.07976888,21
LS_T4L3C39,7.2,7.2_3,C_limoniforme,herbarum,0,East,0.474754464,0.07976888,18
LS_T4L3C39,7.1,7.1_1,C_limoniforme,herbarum,0,East,0.474754464,0.07976888,27
LS_T4L3C39,7.1,7.1_2,C_limoniforme,herbarum,1,East,0.474754464,0.07976888,39
LS_T4L3C39,7.1,7.1_3,C_limoniforme,herbarum,0,East,0.474754464,0.07976888,14
LS_T4L3C39,7.4,7.4_1,C_limoniforme,herbarum,0,East,0.474754464,0.07976888,25
LS_T4L3C39,7.4,7.4_2,C_limoniforme,herbarum,0,East,0.474754464,0.07976888,40
LS_T4L3C39,7.4,7.4_3,C_limoniforme,herbarum,0,East,0.474754464,0.07976888,59
YK_T2L5C7,4.2,4.2_1,C_limoniforme,herbarum,1,East,0.475898549,0.08026475,28
YK_T2L5C7,4.2,4.2_2,C_limoniforme,herbarum,0,East,0.475898549,0.08026475,39
YK_T2L5C7,4.2,4.2_3,C_limoniforme,herbarum,0,East,0.475898549,0.08026475,25
YK_T2L5C7,4.4,4.4_1,C_limoniforme,herbarum,0,East,0.475898549,0.08026475,52
YK_T2L5C7,4.4,4.4_2,C_limoniforme,herbarum,0,East,0.475898549,0.08026475,35
YK_T2L5C7,4.4,4.4_3,C_limoniforme,herbarum,1,East,0.475898549,0.08026475,37
YK_T2L5C7,4.3,4.3_1,C_limoniforme,herbarum,0,East,0.475898549,0.08026475,92
YK_T2L5C7,4.3,4.3_2,C_limoniforme,herbarum,0,East,0.475898549,0.08026475,32
YK_T2L5C7,4.3,4.3_3,C_limoniforme,herbarum,0,East,0.475898549,0.08026475,16
YK_T2L5C7,4.1,4.1_1,C_limoniforme,herbarum,0,East,0.475898549,0.08026475,12
YK_T2L5C7,4.1,4.1_2,C_limoniforme,herbarum,0,East,0.475898549,0.08026475,50
YK_T2L5C7,4.1,4.1_3,C_limoniforme,herbarum,0,East,0.475898549,0.08026475,17
TIE_T5L2C35,32.4,32.4_1,C_macrocarpum,herbarum,0,East,0.499732476,0.092141569,50
TIE_T5L2C35,32.4,32.4_2,C_macrocarpum,herbarum,0,East,0.499732476,0.092141569,48
TIE_T5L2C35,32.4,32.4_3,C_macrocarpum,herbarum,0,East,0.499732476,0.092141569,101
TIE_T5L2C35,32.2,32.2_1,C_macrocarpum,herbarum,0,East,0.499732476,0.092141569,26
TIE_T5L2C35,32.2,32.2_2,C_macrocarpum,herbarum,0,East,0.499732476,0.092141569,59
TIE_T5L2C35,32.2,32.2_3,C_macrocarpum,herbarum,0,East,0.499732476,0.092141569,6
TIE_T5L2C35,32.1,32.1_1,C_macrocarpum,herbarum,0,East,0.499732476,0.092141569,29
TIE_T5L2C35,32.1,32.1_3,C_macrocarpum,herbarum,1,East,0.499732476,0.092141569,16
TIE_T5L2C35,32.3,32.3_1,C_macrocarpum,herbarum,1,East,0.499732476,0.092141569,32
TIE_T5L2C35,32.3,32.3_2,C_macrocarpum,herbarum,0,East,0.499732476,0.092141569,19
TIE_T5L2C35,32.3,32.3_3,C_macrocarpum,herbarum,0,East,0.499732476,0.092141569,13
DO_T3L1C15,11.3,11.3_1,C_ramotenellum,herbarum,0,West,0.392873634,0.038408893,44
DO_T3L1C15,11.3,11.3_2,C_ramotenellum,herbarum,0,West,0.392873634,0.038408893,40
DO_T3L1C15,11.3,11.3_3,C_ramotenellum,herbarum,0,West,0.392873634,0.038408893,15
DO_T3L1C15,11.1,11.1_1,C_ramotenellum,herbarum,0,West,0.392873634,0.038408893,34
DO_T3L1C15,11.1,11.1_2,C_ramotenellum,herbarum,0,West,0.392873634,0.038408893,18
DO_T3L1C15,11.1,11.1_3,C_ramotenellum,herbarum,0,West,0.392873634,0.038408893,31
DO_T3L1C15,11.2,11.2_1,C_ramotenellum,herbarum,0,West,0.392873634,0.038408893,28
DO_T3L1C15,11.2,11.2_2,C_ramotenellum,herbarum,0,West,0.392873634,0.038408893,41
DO_T3L1C15,11.2,11.2_3,C_ramotenellum,herbarum,0,West,0.392873634,0.038408893,8
DO_T3L1C15,11.4,11.4_1,C_ramotenellum,herbarum,1,West,0.392873634,0.038408893,64
DO_T3L1C15,11.4,11.4_2,C_ramotenellum,herbarum,0,West,0.392873634,0.038408893,57
DO_T3L1C15,11.4,11.4_3,C_ramotenellum,herbarum,1,West,0.392873634,0.038408893,37
DO_T1L4C6,12.3,12.3_2,C_ramotenellum,herbarum,0,West,0.389089494,0.037095611,53
DO_T1L4C6,12.3,12.3_3,C_ramotenellum,herbarum,0,West,0.389089494,0.037095611,28
DO_T1L4C6,12.2,12.2_1,C_ramotenellum,herbarum,0,West,0.389089494,0.037095611,18
DO_T1L4C6,12.2,12.2_2,C_ramotenellum,herbarum,1,West,0.389089494,0.037095611,41
DO_T1L4C6,12.2,12.2_3,C_ramotenellum,herbarum,0,West,0.389089494,0.037095611,10
DO_T1L4C6,12.4,12.4_1,C_ramotenellum,herbarum,0,West,0.389089494,0.037095611,28
